day,avg_quality,variance,precision
420,5690.015935664467,950206.3668779094,0.0001817708333333333
421,5691.6813875473445,951742.662017188,0.00018322222222222215
422,5701.0185592198095,924912.5359843948,0.0001847013888888888
423,5704.572235455475,920215.951232901,0.00018632638888888887
424,5710.241102503151,896975.5652648122,0.00018834722222222224
425,5700.824994502449,918755.129087869,0.0001875208333333333
426,5694.272041653955,954685.2567751968,0.0001864374999999999
427,5694.2028948904635,946446.3918504114,0.0001850347222222221
428,5693.711223175001,947531.0630814562,0.0001871249999999999
429,5703.39565021657,914084.2079235525,0.000190534722222222
430,5702.739516769269,926091.6947272882,0.00018968749999999997
431,5702.877481680473,935509.9139106583,0.00019313888888888874
432,5696.520815590476,929846.0089983969,0.00019155555555555544
433,5693.118297857669,952559.3689804279,0.00018924305555555545
434,5690.9114665476045,972427.2045405981,0.00019261111111111112
435,5675.074113271021,1010407.2377750307,0.0001879861111111109
436,5700.250600826901,924089.1326870907,0.00019130555555555543
437,5684.338283234919,958052.0666502733,0.000188111111111111
438,5707.913692710619,902263.4216096202,0.0001996805555555554
439,5688.349665471923,954052.7975143521,0.0001876249999999999
440,5710.567248412811,900072.5294138448,0.00019857638888888876
441,5693.283959136888,964652.1974663376,0.00019597222222222214
442,5680.075926087019,980531.0880891978,0.00018869444444444435
443,5706.869261233726,908622.304130196,0.0001980208333333332
444,5699.331533215741,923174.4541003334,0.00019675694444444433
445,5702.540600033864,924782.4108380146,0.00019953472222222199
446,5694.412973008555,933445.3417899566,0.0001930694444444444
447,5706.500824010033,924570.5384323422,0.00020535416666666654
448,5701.976594684081,924261.8912031756,0.00020234027777777763
449,5707.217751030041,910524.2312676875,0.00019615277777777762
450,5696.865884964833,944080.2708748142,0.00019796527777777767
451,5705.124116040104,937333.6941175096,0.0002053541666666664
452,5692.950767087419,972012.8744661681,0.00019856249999999987
453,5691.384702401606,970204.5837379616,0.0001947013888888887
454,5714.332633703761,906896.5183278766,0.00020730555555555533
455,5683.345386292185,1005099.7691643673,0.00019919444444444422
456,5702.286387745327,915953.3811768133,0.00020140277777777764
457,5686.879912711042,990019.3822253888,0.00020355555555555537
458,5704.972445808465,926087.961527471,0.00020786805555555535
459,5714.275956115577,906552.3009214241,0.0002102291666666665
460,5689.327970812855,981208.9748051711,0.00020331944444444436
461,5699.953646945547,944160.5695927914,0.00020921527777777751
462,5713.546830218426,897398.4705323115,0.00020952777777777764
463,5699.381099496731,935696.1519802358,0.00020674999999999982
464,5699.8561286891545,932396.6896052161,0.00020369444444444425
465,5705.262602122079,919274.6009691578,0.00020581249999999986
466,5706.872416286201,935066.7547708309,0.00020903472222222197
467,5703.407494598788,928588.3899564341,0.00021307638888888873
468,5707.5990226009735,932719.1031783301,0.00021366666666666648
469,5709.381389803242,922411.8179541578,0.0002145208333333332
470,5699.722727217147,934022.2181863154,0.0002100624999999998
471,5709.1966697055495,913009.435868549,0.0002136597222222221
472,5695.839169884242,962409.3751447732,0.00021030555555555538
